brand,title,type,price,sold,type_cleaned
Dior,Christian Dior Sauvage Men's EDP 3.4 oz Fragrance Spray,eau de parfum,84.99,116.0,Eau de Parfum
AS SHOW,A-v-entus Eau de Parfum 3.3 oz 100ML Millesime EDP Col-ogne for Men New In Box,eau de parfum,109.99,48.0,Eau de Parfum
Unbranded,HOGO BOSS cologne For Men 3.4 oz,eau de toilette,100.0,27.0,Eau de Toilette
Giorgio Armani,Acqua Di Gio by Giorgio Armani 6.7 Fl oz Eau De Toilette Spray Men' New & Sealed,eau de toilette,44.99,159.0,Eau de Toilette
Lattafa,Lattafa Men's Hayaati Al Maleky EDP Spray 3.4 oz Fragrances 6291108734056,fragrances,16.91,156.0,Other
Multiple Brands,Men's Perfume Sampler 10pcs Sample Vials Designer Fragrance Samples for Men,perfume,14.99,79.0,Perfume
Maison Alhambra,Glacier Bold by Maison Alhambra 3.4oz EDP for Men NEW SEALED CAN,eau de parfum,30.99,39.0,Eau de Parfum
Unbranded,Parfums De-Marly-Haltane Eau de Parfum spray 4.2 oz for Men New in Box,eau de parfum,85.0,6.0,Eau de Parfum
Unbranded,Hawas for him Eau De Parfum By Rasasi 100ml 3.4 FL OZ NEW,/,15.89,17.0,Other
Gucci,"Gucci Guilty for Him - Classic 3oz Eau de Toilette Spray, Brand New",eau de parfum,49.99,68.0,Eau de Parfum
Ralph Lauren,Polo Blue by Ralph Lauren 4.2 oz EDT Cologne for Men Brand New In Box,eau de toilette,34.99,615.0,Eau de Toilette
Dolce&Gabbana,Dolce & Gabbana Light Blue Men 4.2 oz / 125 mL EDT Spray Brand New & Sealed,eau de toilette,29.95,458.0,Eau de Toilette
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,perfume,15.99,889.0,Perfume
As Show,Sauvage Eau de Parfum Spray For Men 3.4 Oz/100ml New In Seald Box,eau de parfum,59.99,63.0,Eau de Parfum
Versace,Eau Fraiche By Versace 3.4 oz 100 ml Eau de Toilette Brand New Sealed In Box,eau de toilette,34.99,136.0,Eau de Toilette
Paco Rabanne,1 Million by Paco Rabanne 3.4 Fl oz / 100 ml PARFUM Spray Men's New & Sealed,parfum,68.99,20.0,Eau de Parfum
Grandeur,Tribal Intense by Grandeur - Eau de Parfum for Men -100ml (3.4oz),eau de parfum,37.99,44.0,Eau de Parfum
Armaf,Club de Nuit Intense by Armaf 3.6 oz EDT Cologne for Men New In Box & Sealed,eau de toilette,29.99,384.0,Eau de Toilette
Carolina Herrera,Carolina Herrera 212 NYC Men's Cologne EDT 3.4oz 100ml New Sealed,eau de toilette,39.99,236.0,Eau de Toilette
Dior,Dior Sauvage Eau de Toilette 3.4 Oz 100ml Brand New Sealed Free shipping,eau de toilette,83.95,22.0,Eau de Toilette
Dolce & Gabbana,Light Blue by Dolce & Gabbana 4.2 oz Cologne for Men Tester with Cap,eau de toilette,29.94,9208.0,Eau de Toilette
Clinique,CLINIQUE HAPPY Pour Homme Cologne edt for Men 3.4 oz 3.3 NEW in Box,eau de toilette,21.99,86.0,Eau de Toilette
Dumont,Dumont Men's Nitro Red EDP Spray 3.4 oz Fragrances 3760060761880,fragrances,49.99,187.0,Other
Afnan,Turathi Blue by Afnan for men EDP 3oz New in Sealed Box,eau de parfum,33.7,131.0,Eau de Parfum
Versace,Versace Eros by Gianni Versace 3.4oz EDT Cologne for Men 100ml New in Box,eau de toilette,35.99,43.0,Eau de Toilette
Azzaro,Azzaro The Most Wanted 3.3 oz./100 ml. PARFUM Spray for Men. New in Sealed Box,parfum,89.97,920.0,Eau de Parfum
Unbranded,USA Parfums de Marly Layton Royal Essence 4.2 oz. Men's Eau de Parfum,eau de parfum,92.99,19.0,Eau de Parfum
Azzaro,Azzaro The Most Wanted 3.38 oz./100 ml. PARFUM for Men fast shipping,eau de parfum,87.99,4.0,Eau de Parfum
Giorgio Armani,Acqua Di Gio Profumo by Giorgio Armani 4.2oz Cologne For Men New in Box,eau de parfum,119.99,34.0,Eau de Parfum
Penhaligon's,Penhaligon's The Tragedy of Lord George 2.5oz EDP Spray Men's Perfume,eau de parfum,99.99,30.0,Eau de Parfum
Bharara,Bharara Double Bleu Pour Homme By Bharara 3.4/3.3 oz Edp Spray For Men NEW,eau de parfum,51.91,47.0,Eau de Parfum
Paco Rabanne,1 Million Paco Rabanne Men 3.4 oz EDT Spray,eau de toilette,49.99,170.0,Eau de Toilette
Armaf,ARMAF CLUB DE NUIT INTENSE 3.6 oz FOR MEN EDT SOLE OFFICIAL DISTRIBUTOR OF ARMAF,eau de toilette,32.85,8385.0,Eau de Toilette
Valentino,Valentino Uomo Born In Roma 3.4 oz. Eau de Toilette Spray for Men New in Box,eau de toilette,89.97,295.0,Eau de Toilette
Guy Laroche,DRAKKAR NOIR by Guy Laroche 3.4 oz / 3.3 oz edt spray for Men New UNBOXED,eau de toilette,16.98,2345.0,Eau de Toilette
Montblanc,MONT BLANC LEGEND 3.3 / 3.4 oz EDT Cologne for Men New In Box,eau de toilette,32.89,5032.0,Eau de Toilette
Rasasi,Rasasi Men's Hawas EDP Spray 3.4 oz Fragrances 614514331026,eau de parfum,45.11,258.0,Eau de Parfum
Maison Alhambra,Maison Alhambra Men's Victorioso Victory EDP Spray 3.4 oz Fragrances,fragrances,19.73,55.0,Other
Armaf,Club de Nuit Untold by Armaf 3.6 oz EDP Brand New In Box Sealed FREE SHIPPING,eau de parfum,39.99,276.0,Eau de Parfum
Calvin Klein,Eternity for Men by Calvin Klein cologne EDT 6.7 / 6.8 oz New In Box,eau de toilette,40.6,5582.0,Eau de Toilette
UOMO,Valentino Uomo EDT Perfume For Men 3.4oz / 100ml Spray *NEW IN BOX*,eau de toilette,54.99,8.0,Eau de Toilette
Paco Rabanne,Phantom by Paco Rabanne 3.4 oz EDT Cologne for Men Brand New In Box,eau de toilette,40.99,37.0,Eau de Toilette
Armaf,Club de Nuit Sillage by Armaf 3.6 oz EDP Cologne for Men New In Box,eau de parfum,34.84,4460.0,Eau de Parfum
Givenchy,PI by Givenchy cologne for men EDT 3.3 / 3.4 oz New Tester,eau de toilette,34.72,627.0,Eau de Toilette
Azzaro,Chrome by Azzaro 6.7 / 6.8 oz EDT Cologne for Men New In Box,eau de toilette,46.33,30655.0,Eau de Toilette
Armaf,TAG UOMO ROSSO BY ARMAF EDP 3.4 OZ / 100 ML FOR MEN (NIB)SEALED,eau de parfum,39.0,24.0,Eau de Parfum
Lattafa,Qaed Al Fursan by Lattafa perfume for unisex EDP 3.04 oz New in Box,eau de parfum,21.54,989.0,Eau de Parfum
Polo Ralph Lauren,POLO SPORT Ralph Lauren 4.2 oz Cologne for Men EDT New in Box,eau de toilette,32.97,5023.0,Eau de Toilette
Ralph Lauren,POLO SPORT FRESH by Ralph Lauren cologne for men EDT 4.2 oz New in Box,eau de toilette,23.34,972.0,Eau de Toilette
C.K,Eternity by Calvin Klein 3.4 oz EDT Cologne for Men Brand New Tester,eau de toilette,28.75,12739.0,Eau de Toilette
John Varvatos,ARTISAN by John Varvatos 4.2 oz edt Men's Cologne New tester,eau de toilette,27.94,485.0,Eau de Toilette
Afnan,AFNAN 9AM DIVE EAU DE PARFUM SPRAY UNISEX 3.4 Oz / 100 Ml,eau de parfum,32.5,372.0,Eau de Parfum
Nautica,NAUTICA BLUE by Nautica 3.4 oz / 100 ml Eau De Toilette Spray NEW & SEALED,eau de toilette,14.99,291.0,Eau de Toilette
Giorgio Armani,Giorgio Armani Acqua Di Gio 6.7oz / 200ml Men's Eau de Toilette Spray Brand New,eau de toilette,45.95,578.0,Eau de Toilette
Giorgio Armani,Armani Code Profumo by Giorgio Armani 3.7 fl oz Spray Parfum Men's New & Sealed,eau de parfum,68.99,99.0,Eau de Parfum
As Picture Show,Sauvage Eau De Parfum 3.4 oz / 100 ml EDP Spray For Men New In Seald Box,eau de parfum,69.99,44.0,Eau de Parfum
SECERTMU,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men US,perfume,13.99,290.0,Perfume
Versace,Versace Pour Homme Signature by Versace 3.4 oz EDT Cologne for Men New Tester,eau de toilette,36.88,19899.0,Eau de Toilette
Kenneth Cole,KENNETH COLE BLACK Cologne for Men 3.4 oz EDT Spray New in Box,eau de toilette,24.7,12865.0,Eau de Toilette
Tommy Hilfiger,TOMMY BOY EST 1985 by Tommy Hilfiger Cologne edt men 3.4 / 3.3 oz NEW in BOX,eau de toilette,26.11,12184.0,Eau de Toilette
Unbranded,SEALED NEW CUPID 2.0 HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ MEET MORE HOT WOMEN,perfume,14.99,172.0,Perfume
2nd To None,6 For $19.95 MEN(M) WOMEN(W) & UNISEX(U) Body Oil Fragrances 10 ml Roll On Pure,concentrated uncut pure body oil,6.65,18882.0,Other
Dior,Sauvage Dior Eau De Parfum MINATURE 10ml / 0.34 oz ...,eau de parfum,25.99,1332.0,Eau de Parfum
Yves Saint Laurent,Y By Yves Saint Laurent LE PARFUM 3.3 Fl oz Spray Men's New & Sealed,le parfum,60.99,35.0,Eau de Parfum
Yves Saint Laurent,Yves Saint Laurent Y Men's Eau De Parfum 3.4 oz/100 ml,eau de parfum,47.88,25.0,Eau de Parfum
Calvin Klein,ETERNITY for Men by CALVIN KLEIN 3.3 / 3.4 oz EDT New In box,eau de toilette,31.08,1362.0,Eau de Toilette
Armaf,Armaf Men's Ventana Marine EDP Spray 3.4 oz Fragrances 6294015175417,fragrances,24.43,110.0,Other
Versace,Versace Eros by Gianni Versace 3.4 oz 100ml EDT Cologne for Men New In Box,eau de toilette,35.99,221.0,Eau de Toilette
Rasasi,RASASI DAREEJ 3.4 oz-100 ml Men EDP Spray New & Sealed New sale,eau de parfum,25.99,3.0,Eau de Parfum
Ralph Lauren,POLO by Ralph Lauren 4.0 oz Cologne EDT Men GREEN New in Box,eau de toilette,38.57,1503.0,Eau de Toilette
